brand,series,model,year,col,size,cpu,gen,ram,slots,max,sold,w11,tag,st_25sata,st_msata,st_m2sata,st_m2nvme,st_ide,st_emmc,st_m2len,st_note,price,price_note,os,note,aliases,pwr,bat,bat_note
dell,,5530,2022,15,15.6″,Intel 12th gen (Alder Lake),ddr4,DDR4-3200 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$183–345,"Real eBay sold IQR, Jul 2026 (n=42, median $260). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5430,2022,14,14″,Intel 12th gen (Alder Lake),ddr4,DDR4-3200 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$179–238,"Real eBay sold IQR, Jul 2026 (n=39, median $201). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,A separate 'Latitude 5430 Rugged' also exists — different machine.,,7.4mm barrel (big round tip) · 90W+|>Search: PA-10 (90W) / PA-4E (130W). Newer Rugged gens also accept USB-C PD. An undersized brick still runs the laptop but slow-charges or throttles — check the label before blaming the machine. 💡 Buying tip: 65/90W OEM bricks are $10–20 used; the 130W ones run more like $15–25 — still buy OEM.,,
dell,,5330,2022,13,13.3″,Intel 12th gen (Alder Lake),ddr4,DDR4-3200,"soldered, no slots",32 GB,1,1,NVMe,,,,1,,,2230,,$203–359,"Real eBay sold IQR, Jul 2026 (n=21, median $225). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,Also sold as 2-in-1.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). 💡 Buying tip: used OEM ~$10–20, but for USB-C any solid-brand PD charger (Anker etc.) is equally fine — the standard does the work. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,7230,2022,12,12″,Intel 12th gen U (Alder Lake),ddr5,LPDDR5-5200,"soldered, no slots",32 GB,1,1,NVMe,,,,1,,,2230,removable,$360–575,"Est. (calibrated to Jul 2026 sold data). Rugged Extreme Tablet — small market, holds value.",,"Rugged Extreme Tablet — IP-65, MIL-STD-810H.",,7.4mm barrel (big round tip) · 90W+|>Search: PA-10 (90W) / PA-4E (130W). Newer Rugged gens also accept USB-C PD. An undersized brick still runs the laptop but slow-charges or throttles — check the label before blaming the machine. 💡 Buying tip: 65/90W OEM bricks are $10–20 used; the 130W ones run more like $15–25 — still buy OEM.,,
dell,,5520,2021,15,15.6″,Intel 11th gen (Tiger Lake),ddr4,DDR4-3200 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$160–238,"Real eBay sold IQR, Jul 2026 (n=43, median $213). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5420,2021,14,14″,Intel 11th gen (Tiger Lake),ddr4,DDR4-3200 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$130–236,"Real eBay sold IQR, Jul 2026 (n=38, median $164). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5320,2021,13,13.3″,Intel 11th gen (Tiger Lake),ddr4,DDR4-3200,"soldered, no slots",32 GB,1,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$150–239,"Real eBay sold IQR, Jul 2026 (n=49, median $192). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,Also sold as 2-in-1.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,7320,2021,13,13.3″,Intel 11th gen (Tiger Lake),ddr4,LPDDR4x-4267,"soldered, no slots",32 GB,1,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$150–235,Est. (calibrated to Jul 2026 sold data). Premium build resells well; carbon/alu lids scratch — grade A gets a premium.,,Premium (7000) 13.3″ laptop. '7320 Detachable' is a different 13″ tablet.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5510,2020,15,15.6″,Intel 10th gen (Comet Lake),ddr4,DDR4-2666 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$130–209,"Real eBay sold IQR, Jul 2026 (n=40, median $168). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5410,2020,14,14″,Intel 10th gen (Comet Lake),ddr4,DDR4-2666 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$113–195,"Real eBay sold IQR, Jul 2026 (n=36, median $128). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5310,2020,13,13.3″,Intel 10th gen (Comet Lake),ddr4,DDR4-3200 SODIMM,2× SODIMM,64 GB,,1,NVMe,,,,1,,,,2280 or 2230 depending on config,$120–185,Est. (calibrated to Jul 2026 sold data). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.,,Also sold as 2-in-1.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,7210,2020,12,12.3″,Intel 10th gen (Comet Lake),ddr3,LPDDR3-2133,"soldered, no slots",16 GB,1,1,NVMe,,,,1,,,2230,,$135–210,Est. (calibrated to Jul 2026 sold data). Premium build resells well; carbon/alu lids scratch — grade A gets a premium.,,2-in-1 detachable tablet (Surface Pro style).,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5500,2019,15,15.6″,Intel 8th gen (Whiskey Lake),ddr4,DDR4-2666 SODIMM,2× SODIMM,32 GB,,1,NVMe,2,,,2,,,,,$74–140,"Real eBay sold IQR, Jul 2026 (n=35, median $105). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5400,2019,14,14″,Intel 8th gen (Whiskey Lake),ddr4,DDR4-2666 SODIMM,2× SODIMM,32 GB,,1,NVMe,2,,,2,,,,,$84–120,"Real eBay sold IQR, Jul 2026 (n=34, median $110). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,"Purdue's table swapped 5400/5300 — 5400 is the 14″, 5300 is the 13.3″.",,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5300,2019,13,13.3″,Intel 8th gen (Whiskey Lake),ddr4,DDR4-2666 SODIMM,2× SODIMM,32 GB,,1,NVMe,,,,1,,,,,$105–160,Est. (calibrated to Jul 2026 sold data). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.,,Also sold as 2-in-1. Purdue's table swapped 5400/5300.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,7200,2019,12,12.3″,Intel 8th gen (Whiskey Lake),ddr3,LPDDR3-2133,"soldered, no slots",16 GB,1,1,NVMe,,,,1,,,2230,,$115–175,Est. (calibrated to Jul 2026 sold data). Premium build resells well; carbon/alu lids scratch — grade A gets a premium.,,2-in-1 detachable tablet.,,"USB-C PD · 65W|>Any USB-C PD brick ≥65W works (Dell LA65NM170 typical; 45W = slow-charge + BIOS nag). Some 3000/5000 configs of these years still offered the 7.4mm barrel. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM. <span style=""color:#e5b567"">⚠</span> Basic phone USB-C chargers (5–20W) don't have enough power — you need a laptop-class 45–65W+ PD brick.",,
dell,,5590,2018,15,15.6″,"Intel 8th gen (Kaby Lake R, quad)",ddr4,DDR4-2400 SODIMM,2× SODIMM,32 GB,,1,NVMe,2,,2,2,,,,,$91–140,"Real eBay sold IQR, Jul 2026 (n=44, median $101). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"7.4mm barrel (big round tip) · 90W+|>Base 90W (PA-10), top configs 130W (PA-4E). USB-C PD charging also works on most of these. An undersized brick still runs the laptop but slow-charges or throttles — check the label before blaming the machine. 💡 Buying tip: 65/90W OEM bricks are $10–20 used; the 130W ones run more like $15–25 — still buy OEM.",,
dell,,5490,2018,14,14″,"Intel 8th gen (Kaby Lake R, quad)",ddr4,DDR4-2400 SODIMM,2× SODIMM,32 GB,,1,NVMe,,,1,1,,,,,$75–140,"Real eBay sold IQR, Jul 2026 (n=32, median $114). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"7.4mm barrel (big round tip) · 65W|>Search: PA-12 / LA65NS2-01. USB-C PD charging also works on most of these configs — either connector is fine. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM.",,
dell,,7390,2018,13,13.3″,Intel 8th gen (Kaby Lake R),ddr4,DDR4-2400 SODIMM,2× SODIMM,32 GB,,1,NVMe,,,1,1,,,,,$96–173,"Real eBay sold IQR, Jul 2026 (n=38, median $125). Premium build resells well; carbon/alu lids scratch — grade A gets a premium.",,'7390 2-in-1' is a different machine with soldered LPDDR3 (max 16 GB).,,"7.4mm barrel (big round tip) · 65W|>Search: PA-12 / LA65NS2-01. USB-C PD charging also works on most of these configs — either connector is fine. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM.",,
dell,,7290,2018,12,12.5″,Intel 8th gen (Kaby Lake R),ddr4,DDR4-2400 SODIMM,2× SODIMM,32 GB,,1,NVMe,,,1,1,,,,,$79–135,"Real eBay sold IQR, Jul 2026 (n=29, median $100). Premium build resells well; carbon/alu lids scratch — grade A gets a premium.",,,,"7.4mm barrel (big round tip) · 65W|>Search: PA-12 / LA65NS2-01. USB-C PD charging also works on most of these configs — either connector is fine. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM.",,
dell,,5580,2017,15,15.6″,Intel 7th gen (Kaby Lake),ddr4,DDR4-2400 SODIMM,2× SODIMM,32 GB,,0,SATA/NVMe,2,,2,2,,,,,$93–139,"Real eBay sold IQR, Jul 2026 (n=24, median $105). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"7.4mm barrel (big round tip) · 90W+|>Base 90W (PA-10), top configs 130W (PA-4E). USB-C PD charging also works on most of these. An undersized brick still runs the laptop but slow-charges or throttles — check the label before blaming the machine. 💡 Buying tip: 65/90W OEM bricks are $10–20 used; the 130W ones run more like $15–25 — still buy OEM.",,
dell,,5480,2017,14,14″,Intel 7th gen (Kaby Lake) · quad i7-HQ configs exist,ddr4,DDR4-2400 SODIMM,2× SODIMM,32 GB,,0,SATA/NVMe,2,,2,2,,,,,$70–130,"Real eBay sold IQR, Jul 2026 (n=41, median $94). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"7.4mm barrel (big round tip) · 65W|>Search: PA-12 / LA65NS2-01. USB-C PD charging also works on most of these configs — either connector is fine. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM.",,
dell,,7480,2017,14,14″,Intel 6th/7th gen (Skylake/Kaby Lake),ddr4,DDR4-2133/2400 SODIMM,2× SODIMM,32 GB,,0,SATA/NVMe,,,1,1,,,,,$81–152,"Real eBay sold IQR, Jul 2026 (n=28, median $115). Premium build resells well; carbon/alu lids scratch — grade A gets a premium.",,,,"7.4mm barrel (big round tip) · 65W|>Search: PA-12 / LA65NS2-01. USB-C PD charging also works on most of these configs — either connector is fine. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM.",,
dell,,E5570,2016,15,15.6″,Intel 6th gen (Skylake),ddr4,DDR4-2133 SODIMM,2× SODIMM,32 GB,,0,SATA,1,,,2,,,,M.2 only on some configs,$65–105,Est. (calibrated to Jul 2026 sold data). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.,,,,"7.4mm barrel (big round tip) · 90W+|>Base 90W (PA-10), top configs 130W (PA-4E). USB-C PD charging also works on most of these. An undersized brick still runs the laptop but slow-charges or throttles — check the label before blaming the machine. 💡 Buying tip: 65/90W OEM bricks are $10–20 used; the 130W ones run more like $15–25 — still buy OEM.",,
dell,,E5470,2016,14,14″,Intel 6th gen (Skylake) · quad i5/i7-HQ configs exist,ddr4,DDR4-2133 SODIMM,2× SODIMM,32 GB,,0,SATA,1,,,,,,,,$65–100,"Real eBay sold IQR, Jul 2026 (n=37, median $90). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,,,"7.4mm barrel (big round tip) · 65W|>Search: PA-12 / LA65NS2-01. USB-C PD charging also works on most of these configs — either connector is fine. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM.",,
dell,,E7470,2016,14,14″,Intel 6th gen (Skylake),ddr4,DDR4-2133 SODIMM,2× SODIMM,16 GB (32 unofficial),,0,SATA/NVMe,,,1,1,,,,,$55–115,"Real eBay sold IQR, Jul 2026 (n=24, median $67). Premium build resells well; carbon/alu lids scratch — grade A gets a premium.",,,,"7.4mm barrel (big round tip) · 65W|>Search: PA-12 / LA65NS2-01. USB-C PD charging also works on most of these configs — either connector is fine. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM.",,
dell,,E5550,2015,15,15.6″,Intel 4th/5th gen (Broadwell),ddr3,DDR3L-1600 SODIMM,2× SODIMM,16 GB,,0,SATA,1,,,,,,,,$55–95,Est. (calibrated to Jul 2026 sold data). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.,,⚠ Name reused by the 2024 Latitude 5550 (DDR5 era) — check CPU gen in listings.,,7.4mm barrel (big round tip) · 90W+|>Base configs shipped 90W (PA-10 / LA90PM111); quad-core/dGPU builds came with 130W (PA-4E). An undersized brick still runs the laptop but slow-charges or throttles — check the label before blaming the machine. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: 65/90W OEM bricks are $10–20 used; the 130W ones run more like $15–25 — still buy OEM.,,
dell,,E5450,2015,14,14″,Intel 4th/5th gen (Broadwell),ddr3,DDR3L-1600 SODIMM,2× SODIMM,16 GB,,0,SATA,1,,,,,,,7 mm bay,$60–87,"Real eBay sold IQR, Jul 2026 (n=24, median $74). i7 / FHD / backlit-KB configs top the range; battery health is the biggest swing.",,⚠ Name reused by the 2024 Latitude 5450 — check CPU gen in listings.,,"7.4mm barrel (big round tip) · 65W|>Search: PA-12 / LA65NS2-01. Any 7.4mm Dell brick from ~2003–2020 fits; higher wattage than needed is always fine. 💡 Buying tip: used OEM bricks are $10–20 shipped on eBay — same price as 3rd-party, so just buy OEM.",,
